plate	well	depth	expt	round	sample	phage_library	notes	ID
3	G4	1.0	027i	R4i	1+.G4	alpaca		03-G4
3	G5	1.0	027i	R4i	1+.G5	alpaca		03-G5
3	G6	1.0	027i	R4i	1+.G6	alpaca		03-G6
3	G7	1.0	027i	R4i	1+.G7	alpaca		03-G7
3	G8	1.0	027i	R4i	1+.G8	alpaca		03-G8
3	G9	1.0	027i	R4i	1+.G9	alpaca		03-G9
3	G10	1.0	027i	R4i	1+.G10	alpaca		03-G10
3	G11	1.0	027i	R4i	1+.G11	alpaca		03-G11
3	G12	1.0	027i	R4i	1+.G12	alpaca		03-G12
3	H1	1.0	027i	R4i	1+.H1	alpaca		03-H1
3	H2	1.0	027i	R4i	1+.H2	alpaca		03-H2
3	H3	1.0	027i	R4i	1+.H3	alpaca		03-H3
3	H4	1.0	027i	R4i	1+.H4	alpaca		03-H4
3	H5	1.0	027i	R4i	1+.H5	alpaca		03-H5
3	H6	1.0	027i	R4i	1+.H6	alpaca		03-H6
3	H7	1.0	027i	R4i	1+.H7	alpaca		03-H7
3	H10	1.0	027i	R4i	1+.H10	alpaca		03-H10
3	H11	1.0	027i	R4i	1+.H11	alpaca		03-H11
3	H12	1.0	027i	R4i	1+.H12	alpaca		03-H12
4	A1	1.0	027i	R5i	1+.A1	alpaca		04-A1
4	A2	1.0	027i	R5i	1+.A2	alpaca		04-A2
4	A3	1.0	027i	R5i	1+.A3	alpaca		04-A3
4	A4	1.0	027i	R5i	1+.A4	alpaca		04-A4
4	A5	1.0	027i	R5i	1+.A5	alpaca		04-A5
4	A6	1.0	027i	R5i	1+.A6	alpaca		04-A6
4	A7	1.0	027i	R5i	1+.A7	alpaca		04-A7
4	A8	1.0	027i	R5i	1+.A8	alpaca		04-A8
4	A9	1.0	027i	R5i	1+.A9	alpaca		04-A9
4	A10	1.0	027i	R5i	1+.A10	alpaca		04-A10
4	A11	1.0	027i	R5i	1+.A11	alpaca		04-A11
4	A12	1.0	027i	R5i	1+.A12	alpaca		04-A12
4	B1	1.0	027i	R5i	1+.B1	alpaca		04-B1
4	B2	1.0	027i	R5i	1+.B2	alpaca		04-B2
4	B3	1.0	027i	R5i	1+.B3	alpaca		04-B3
4	B4	1.0	027i	R5i	1+.B4	alpaca		04-B4
4	B5	1.0	027i	R5i	1+.B5	alpaca		04-B5
4	B6	1.0	027i	R5i	1+.B6	alpaca		04-B6
4	B7	1.0	027i	R5i	1+.B7	alpaca		04-B7
4	B8	1.0	027i	R5i	1+.B8	alpaca		04-B8
4	B9	1.0	027i	R5i	1+.B9	alpaca		04-B9
4	B10	1.0	027i	R5i	1+.B10	alpaca		04-B10
4	B11	1.0	027i	R5i	1+.B11	alpaca		04-B11
4	B12	1.0	027i	R5i	1+.B12	alpaca		04-B12
4	C1	1.0	027i	R5i	1+.C1	alpaca		04-C1
4	C2	1.0	027i	R5i	1+.C2	alpaca		04-C2
4	C3	1.0	027i	R5i	1+.C3	alpaca		04-C3
4	C4	1.0	027i	R5i	1+.C4	alpaca		04-C4
4	C5	1.0	027i	R5i	1+.C5	alpaca		04-C5
4	C6	1.0	027i	R5i	1+.C6	alpaca		04-C6
4	C7	1.0	027i	R5i	1+.C7	alpaca		04-C7
4	C8	1.0	027i	R5i	1+.C8	alpaca		04-C8
4	C9	1.0	027i	R5i	1+.C9	alpaca		04-C9
4	C10	1.0	027i	R5i	1+.C10	alpaca		04-C10
4	C11	1.0	027i	R5i	1+.C11	alpaca		04-C11
4	C12	1.0	027i	R5i	1+.C12	alpaca		04-C12
4	D1	1.0	027i	R5i	1+.D1	alpaca		04-D1
4	D2	1.0	027i	R5i	1+.D2	alpaca		04-D2
4	D3	1.0	027i	R5i	1+.D3	alpaca		04-D3
4	D4	1.0	027i	R5i	1+.D4	alpaca		04-D4
4	D5	1.0	027i	R5i	1+.D5	alpaca		04-D5
4	D6	1.0	027i	R5i	1+.D6	alpaca		04-D6
4	D7	1.0	027i	R5i	1+.D7	alpaca		04-D7
4	D8	1.0	027i	R5i	1+.D8	alpaca		04-D8
4	D9	1.0	027i	R5i	1+.D9	alpaca		04-D9
4	D10	1.0	027i	R5i	1+.D10	alpaca		04-D10
4	D11	1.0	027i	R5i	1+.D11	alpaca		04-D11
4	D12	1.0	027i	R5i	1+.D12	alpaca		04-D12
4	E1	1.0	027i	R5i	1+.E1	alpaca		04-E1
4	E2	1.0	027i	R5i	1+.E2	alpaca		04-E2
4	E3	1.0	027i	R5i	1+.E3	alpaca		04-E3
4	E4	1.0	027i	R5i	1+.E4	alpaca		04-E4
4	E5	1.0	027i	R5i	1+.E5	alpaca		04-E5
4	E6	1.0	027i	R5i	1+.E6	alpaca		04-E6
4	E7	1.0	027i	R5i	1+.E7	alpaca		04-E7
4	E10	1.0	027i	R5i	1+.E10	alpaca		04-E10
4	E11	1.0	027i	R5i	1+.E11	alpaca		04-E11
4	E12	1.0	027i	R5i	1+.E12	alpaca		04-E12
4	F1	1.0	027i	R5i	1+.F1	alpaca		04-F1
4	F2	1.0	027i	R5i	1+.F2	alpaca		04-F2
4	F3	1.0	027i	R5i	1+.F3	alpaca		04-F3
4	F4	1.0	027i	R5i	1+.F4	alpaca		04-F4
4	F5	1.0	027i	R5i	1+.F5	alpaca		04-F5
4	F6	1.0	027i	R5i	1+.F6	alpaca		04-F6
4	F7	1.0	027i	R5i	1+.F7	alpaca		04-F7
4	F8	1.0	027i	R5i	1+.F8	alpaca		04-F8
4	F9	1.0	027i	R5i	1+.F9	alpaca		04-F9
4	F10	1.0	027i	R5i	1+.F10	alpaca		04-F10
