,Round,In_Out,Plate,Sample,Vol,C_Dilution,C_Count,C_pfu/mL,C_pfu/well,C_log(pfu/mL),C_log(pfu/well),C_log(change),C_log(enrichment),K_Dilution,K_Count,K_pfu/mL,K_pfu/well,K_log(pfu/mL),K_log(pfu/well),K_log(enrichment),log(carb-kan/ml),log(carb-kan/well),kind,fraction,r,plate_n,sample_full
219,R2,in,2+,C4,0.2,-8.0,57.0,5700000000000.0,1140000000000.0,12.755874855672491,12.056904851336473,,,,,,,,,,,,+,i,2,2,2.C4
220,R2,in,2+,C5,0.2,-8.0,83.0,8300000000000.0,1660000000000.0,12.919078092376074,12.220108088040055,,,,,,,,,,,,+,i,2,2,2.C5
221,R2,in,2+,C6,0.2,-8.0,76.0,7600000000000.0,1520000000000.0,12.880813592280791,12.181843587944773,,,,,,,,,,,,+,i,2,2,2.C6
222,R2,out,2+,C1,0.2,-3.0,27.0,27000000.0,5400000.0,7.431363764158987,6.732393759822968,5.346787486224657,-0.15970084286751263,,,,,,,,,,+,+,2,2,2.C1
223,R2,out,2+,C2,0.2,-3.0,30.0,30000000.0,6000000.0,7.477121254719663,6.778151250383644,5.355387657986574,-0.36172783601759306,,,,,,,,,,+,+,2,2,2.C2
224,R2,out,2+,C3,0.2,-3.0,15.0,15000000.0,3000000.0,7.176091259055681,6.477121254719663,5.6020599913279625,-0.40369233756112877,,,,,,,,,,+,+,2,2,2.C3
225,R2,out,2+,C4,0.2,-3.0,29.0,29000000.0,5800000.0,7.4623979978989565,6.763427993562937,5.293476857773536,-0.45141585448476107,,,,,,,,,,+,+,2,2,2.C4
226,R2,out,2+,C5,0.2,-3.0,28.0,28000000.0,5600000.0,7.447158031342219,6.748188027006201,5.471920061033854,-0.5351132016973486,,,,,,,,,,+,+,2,2,2.C5
227,R2,out,2+,C6,0.2,-3.0,28.0,28000000.0,5600000.0,7.447158031342219,6.748188027006201,5.433655560938572,-0.4666558210414973,,,,,,,,,,+,+,2,2,2.C6
228,R2,in,2+,E1,0.2,-8.0,74.0,7400000000000.0,1480000000000.0,12.869231719730976,12.170261715394957,,,,,,,,,,,,+,i,2,2,2.E1
229,R2,in,2+,E2,0.2,-8.0,81.0,8100000000000.0,1620000000000.0,12.90848501887865,12.209515014542632,,,,,,,,,,,,+,i,2,2,2.E2
230,R2,in,2+,E3,0.2,-8.0,40.0,4000000000000.0,800000000000.0,12.602059991327963,11.903089986991944,,,,,,,,,,,,+,i,2,2,2.E3
231,R2,in,2+,E4,0.2,-8.0,76.0,7600000000000.0,1520000000000.0,12.880813592280791,12.181843587944773,,,,,,,,,,,,+,i,2,2,2.E4
232,R2,in,2+,E5,0.2,-8.0,78.0,7800000000000.0,1560000000000.0,12.89209460269048,12.193124598354462,,,,,,,,,,,,+,i,2,2,2.E5
233,R2,in,2+,E6,0.2,-8.0,75.0,7500000000000.0,1500000000000.0,12.8750612633917,12.176091259055681,,,,,,,,,,,,+,i,2,2,2.E6
